family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
got,0.25,25.6667,22.6667,10.3333,108.6667,3.0,0.7121,0.8892,0.7772,68.6667,6.3333,0.0868
got,0.3,25.6667,18.3333,5.0,114.0,7.3333,0.8062,0.723,0.748,68.6667,2.0,0.0274
got,0.35,25.6667,14.3333,2.6667,116.3333,11.3333,0.8651,0.567,0.6697,68.6667,0.6667,0.0091
got,0.4,25.6667,12.3333,2.6667,116.3333,13.3333,0.8581,0.4938,0.5969,68.6667,0.6667,0.0091
got,0.45,25.6667,12.0,2.0,117.0,13.6667,0.8819,0.4793,0.5984,68.6667,0.0,0.0
got,0.5,25.6667,12.0,1.0,118.0,13.6667,0.937,0.4793,0.6148,68.6667,0.0,0.0
got,0.55,25.6667,10.3333,0.3333,118.6667,15.3333,0.9697,0.4068,0.5664,68.6667,0.0,0.0
got,0.6,25.6667,9.6667,0.0,119.0,16.0,1.0,0.3804,0.5431,68.6667,0.0,0.0
got,0.65,25.6667,6.6667,0.0,119.0,19.0,1.0,0.2578,0.3825,68.6667,0.0,0.0
got,0.7,25.6667,5.0,0.0,119.0,20.6667,1.0,0.1931,0.273,68.6667,0.0,0.0
got,0.75,25.6667,2.0,0.0,119.0,23.6667,0.3333,0.0769,0.125,68.6667,0.0,0.0
got,0.8,25.6667,0.0,0.0,119.0,25.6667,0.0,0.0,0.0,68.6667,0.0,0.0
got,0.85,25.6667,0.0,0.0,119.0,25.6667,0.0,0.0,0.0,68.6667,0.0,0.0
got,0.9,25.6667,0.0,0.0,119.0,25.6667,0.0,0.0,0.0,68.6667,0.0,0.0
arrow,0.1,10.3333,10.3333,107.0,27.3333,0.0,0.0868,1.0,0.159,68.6667,45.3333,0.6665
arrow,0.15,10.3333,10.3333,87.6667,46.6667,0.0,0.1038,1.0,0.187,68.6667,35.0,0.518
arrow,0.2,10.3333,10.3333,66.6667,67.6667,0.0,0.1306,1.0,0.23,68.6667,29.3333,0.4345
arrow,0.25,10.3333,10.3333,44.6667,89.6667,0.0,0.1879,1.0,0.3124,68.6667,19.6667,0.2932
arrow,0.3,10.3333,10.3333,35.6667,98.6667,0.0,0.2316,1.0,0.3673,68.6667,15.0,0.2253
arrow,0.35,10.3333,10.3333,28.3333,106.0,0.0,0.2853,1.0,0.4277,68.6667,11.6667,0.1737
arrow,0.4,10.3333,10.0,23.6667,110.6667,0.3333,0.321,0.9444,0.4605,68.6667,9.6667,0.1443
arrow,0.45,10.3333,10.0,17.6667,116.6667,0.3333,0.3757,0.9444,0.5199,68.6667,8.3333,0.126
arrow,0.5,10.3333,10.0,15.3333,119.0,0.3333,0.4174,0.9444,0.5562,68.6667,7.6667,0.1169
arrow,0.55,10.3333,9.3333,11.0,123.3333,1.0,0.4672,0.8586,0.5896,68.6667,6.3333,0.0967
arrow,0.6,10.3333,9.0,6.3333,128.0,1.3333,0.6564,0.8283,0.7106,68.6667,2.6667,0.0444
arrow,0.65,10.3333,8.6667,4.6667,129.6667,1.6667,0.7056,0.8045,0.7348,68.6667,1.6667,0.0278
arrow,0.7,10.3333,6.6667,2.6667,131.6667,3.6667,0.7385,0.6551,0.6869,68.6667,0.3333,0.0056
arrow,0.75,10.3333,6.3333,2.0,132.3333,4.0,0.7684,0.6313,0.6877,68.6667,0.0,0.0
arrow,0.8,10.3333,5.0,0.6667,133.6667,5.3333,0.9028,0.4978,0.6345,68.6667,0.0,0.0
arrow,0.85,10.3333,2.3333,0.3333,134.0,8.0,0.8333,0.2367,0.3661,68.6667,0.0,0.0
arrow,0.9,10.3333,0.0,0.3333,134.0,10.3333,0.0,0.0,0.0,68.6667,0.0,0.0
