family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
free,0.95,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
got,0.05,32.0,32.0,41.3333,195.6667,0.0,0.4391,1.0,0.6094,137.0,23.3333,0.1703
got,0.1,32.0,32.0,23.6667,213.3333,0.0,0.5882,1.0,0.737,137.0,10.6667,0.0779
got,0.15,32.0,32.0,11.3333,225.6667,0.0,0.741,1.0,0.8505,137.0,8.6667,0.0633
got,0.2,32.0,32.0,10.0,227.0,0.0,0.764,1.0,0.8656,137.0,7.6667,0.056
got,0.25,32.0,32.0,8.6667,228.3333,0.0,0.7924,1.0,0.8826,137.0,6.3333,0.0462
got,0.3,32.0,32.0,7.6667,229.3333,0.0,0.8194,1.0,0.8971,137.0,6.3333,0.0462
got,0.35,32.0,32.0,3.6667,233.3333,0.0,0.9072,1.0,0.9488,137.0,3.0,0.0219
got,0.4,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.45,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.5,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.55,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.6,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.65,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.7,32.0,32.0,0.0,237.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
got,0.75,32.0,31.6667,0.0,237.0,0.3333,1.0,0.9896,0.9947,137.0,0.0,0.0
got,0.8,32.0,31.3333,0.0,237.0,0.6667,1.0,0.9792,0.9894,137.0,0.0,0.0
got,0.85,32.0,31.3333,0.0,237.0,0.6667,1.0,0.9792,0.9894,137.0,0.0,0.0
got,0.9,32.0,31.3333,0.0,237.0,0.6667,1.0,0.9792,0.9894,137.0,0.0,0.0
got,0.95,32.0,30.3333,0.0,237.0,1.6667,1.0,0.9479,0.9725,137.0,0.0,0.0
arrow,0.05,10.0,10.0,98.3333,160.6667,0.0,0.0933,1.0,0.1706,137.0,46.0,0.3358
arrow,0.1,10.0,10.0,43.3333,215.6667,0.0,0.194,1.0,0.3234,137.0,24.0,0.1752
arrow,0.15,10.0,10.0,24.0,235.0,0.0,0.3038,1.0,0.4634,137.0,15.6667,0.1144
arrow,0.2,10.0,10.0,15.0,244.0,0.0,0.4138,1.0,0.581,137.0,12.0,0.0876
arrow,0.25,10.0,10.0,13.6667,245.3333,0.0,0.4322,1.0,0.6005,137.0,10.6667,0.0779
arrow,0.3,10.0,10.0,12.6667,246.3333,0.0,0.4519,1.0,0.619,137.0,9.6667,0.0706
arrow,0.35,10.0,10.0,11.0,248.0,0.0,0.5103,1.0,0.6643,137.0,8.3333,0.0608
