group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
asset_c37bc6ed49b74cc4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c3fea2567743cc49,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_c4b1d06f64941bee,3,0,3,0,3,0,0,0.0,0.0,1.0
asset_c5baf12d61cdbd4b,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_c736b7a5ae813b01,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c789654b6543eac8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c7e460477e6815ca,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_c889af42d3e373fc,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_c8a22ee6bc0c3a45,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c8bcf5b2160dee7b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_cd33d45498e5848d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_cf3c98baf8f1d1a8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_cf7b07c27f9cb3ef,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d2321a485bdb856e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d30b5d3b349008b2,7,0,7,0,7,0,0,0.0,0.0,1.0
asset_d6ede7713b52b5c0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d817f8eddbd0f0f8,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_d9127253586849c7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d94a12829e570c5c,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_da19d6ed62ef439e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_dc60821c5f660327,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_dec4ce7aa05c4320,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_dfc556b32c903a93,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_e11e82036e454f5e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_e185258982513ed7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_e18d2d36b4462d42,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_e1e6a49dcac737f5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_e5badd6c198477e0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_e78c0a7d5ab4d57b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_e8db4fdd3fa8314c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_eaa49f6694344ff9,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_eb7ca3790333ab2a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ec162651eac5be89,2,0,2,0,0,2,0,0.0,0.0,0.0
asset_ecb016283fbb78e7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ecf375888dbdbd95,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ed91c87aa6becd5c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ef6037b5d7996500,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_f01d5a12652652ef,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_f1ce4131498eb1af,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_f42ca8f2d95897af,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_f4aa7614a75a065f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_f703784b8bad0962,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_f95ffe96be508a2a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_f969550042dd8a5c,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_fa3d7fef15779703,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_fb6f9655e9c30e97,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_fd303d13bfc45e3b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_fe628b894f9e9d17,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_fe9d31d6ed9b602d,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_ff4135452321c27d,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_ff5fa003b27b535b,1,1,0,1,0,0,0,1.0,1.0,0.0
